Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
170; 5,638E0; ; ; ;
171; 5,671E0; ; ; ;
172; 5,705E0; ; ; ;
173; 5,738E0; ; ; ;
174; 5,771E0; ; ; ;
175; 5,805E0; ; ; ;
176; 5,838E0; ; ; ;
177; 5,872E0; ; ; ;
178; 5,905E0; ; ; ;
179; 5,938E0; ; ; ;
180; 5,972E0; ; ; ;
